site_id,gap_no_seeding,gap_during_seeding,within_site_did,n_seeded,n_unseeded
site_050,-27.844997100139373,-54.077560000000005,-26.232562899860632,25,287
site_051,-32.31127963849206,-36.656713116666666,-4.345433478174606,60,252
site_052,0.0,0.0,0.0,94,218
site_053,-36.95359002029022,-32.66763888888889,4.285951131401333,36,276
site_054,-32.149101355,-61.66153846153846,-29.512437106538464,52,260
site_055,-35.52121878627451,-41.751000000000005,-6.229781213725495,6,306
site_056,-6.576257892176871,-1.9627331111111102,4.613524781065761,18,294
site_057,34.68061051535433,57.33119327586207,22.65058276050774,58,254
site_058,-13.399284953947369,-16.112627392857142,-2.7133424389097733,84,228
site_059,0.0,0.0,0.0,6,306
site_060,-11.401741783495146,-3.243333333333334,8.158408450161811,3,309
site_074,6.579906130097087,7.806768000000003,1.2268618699029155,3,309
site_075,-4.163898043023257,-19.51174074074074,-15.347842697717486,54,258
site_076,9.637512860066007,-17.903222000000003,-27.54073486006601,9,303
site_077,0.0,0.0,0.0,3,309
site_078,10.499211653721684,-18.381666666666664,-28.880878320388348,3,309
site_079,1.1309085088235296,5.300934000000001,4.170025491176471,6,306
site_080,0.8794246404530743,3.2090000000000045,2.32957535954693,3,309
site_081,-4.287486085393258,-3.283155555555556,1.004330529837702,45,267
site_082,0.0,0.0,0.0,7,305
site_083,21.578569003260586,19.2247386,-2.353830403260588,5,307
site_084,0.0,0.0,0.0,2,310
site_085,-1.4353283770270273,4.030280831249998,5.465609208277026,16,296
site_086,-7.006875965557432,-14.354233262499998,-7.347357296942565,16,296
site_087,10.94550780759076,-1.5529999999999997,-12.498507807590759,9,303
site_088,3.344105391,33.73225,30.388144609,12,300
site_089,7.214222094276093,1.469403233333335,-5.744818860942758,15,297
site_090,-2.2960624678591266,2.326671864999999,4.6227343328591255,60,252
site_091,9.840086260327869,78.04328571428572,68.20319945395785,7,305
site_092,68.85925340644067,65.91594117647058,-2.94331222997009,17,295
site_093,49.557870424183,54.46583333333333,4.907962909150328,6,306
site_094,17.525582979016395,30.69828571428571,13.172702735269315,7,305
site_095,16.066792554081633,13.504555555555555,-2.5622369985260782,18,294
site_096,-25.228680634053156,-25.579363636363635,-0.350683002310479,11,301
site_097,-25.693290206254293,-23.898714285714284,1.7945759205400087,21,291
site_098,-31.94299556587838,-33.925225250000004,-1.9822296841216236,16,296
site_099,-26.92508264448276,-27.02227272727272,-0.097190082789961,22,290
site_100,-9.861147527361563,-16.5726594,-6.711511872638436,5,307
site_101,2.313362048496644,4.977285714285713,2.6639236657890693,14,298
site_102,-35.40708806282895,-27.9526,7.454488062828947,8,304
site_103,-6.680811103947368,-3.1066249999999966,3.5741861039473717,8,304
site_104,-32.63384896940789,-96.58437500000001,-63.950526030592115,8,304
site_105,-4.214724067679739,16.209666666666667,20.424390734346407,6,306
site_106,14.722442820755187,6.858122452112675,-7.864320368642512,71,241
site_107,-5.151494681433225,12.686399999999997,17.837894681433223,5,307
site_108,0.0,0.0,0.0,108,204
site_109,51.43003100794573,37.82627777777778,-13.603753230167946,54,258
site_110,-50.34902516902027,-63.719375,-13.370349830979727,16,296
site_111,-22.684113191892855,-21.8157963125,0.8683168793928537,32,280
site_112,-16.931789685409836,-32.30842857142857,-15.376638886018736,7,305
site_113,-17.266881488688526,-17.707999999999995,-0.44111851131146906,7,305
site_114,-17.342577690196077,-33.42033333333333,-16.077755643137255,6,306
site_115,-1.9350918327780553,-5.000035607916667,-3.0649437751386115,240,72
site_116,-5.253457893550489,25.7286,30.98205789355049,5,307
site_117,-14.850085842810458,-23.940316499999998,-9.09023065718954,6,306
site_118,-3.8336775942439023,-7.663728009346729,-3.8300504151028263,107,205
site_119,-14.784712340202704,-25.4792903125,-10.694577972297298,16,296
site_120,7.33818394178125,15.719724982142859,8.381541040361608,56,256
site_121,-17.093391856589147,-29.374211031481483,-12.280819174892336,54,258
site_122,-2.959353962333333,2.1575000000000006,5.116853962333334,12,300
site_123,2.9977920687969926,11.614047586956524,8.61625551815953,46,266
site_124,34.68010381914191,40.97311111111111,6.293007291969197,9,303
site_125,60.757306755078126,86.87366744642857,26.116360691350444,56,256
site_126,-0.760755004964539,-6.1386864433333335,-5.377931438368795,30,282
site_127,37.159634036807816,23.1074,-14.052234036807818,5,307
site_128,-1.5260959205574918,-2.3170197999999993,-0.7909238794425075,25,287
site_129,-7.822149221268656,-29.974249999999998,-22.15210077873134,44,268
site_130,3.7839769609090914,20.098000000000003,16.314023039090912,4,308
site_131,4.766355550896057,9.386272727272727,4.619917176376671,33,279
site_132,18.017025286666666,15.487000000000002,-2.530025286666664,12,300
site_133,8.49201421295681,-12.476909090909091,-20.9689233038659,11,301
site_135,-10.088965002727273,-6.830954347826087,3.2580106549011854,92,220
site_136,0.02754966470588238,-0.1733333333333332,-0.20088299803921558,6,306
