site_id,state,project_name,n_months,mean_target_diff_mm,mean_control_diff_mm,mean_gap_diff_mm,mean_abs_target_diff_mm,mean_abs_control_diff_mm,mean_abs_gap_diff_mm,rmse_target_diff_mm,rmse_control_diff_mm,rmse_gap_diff_mm
site_023,california,,276,5.670560827065216,-22.816998048434783,28.4875588755,13.849407557500001,23.23282198669565,32.59890521778261,21.1646767334618,39.77188744340998,52.35840708382212
site_104,texas,,276,-0.05680000615942079,2.5516866949275374,-2.608486701086958,18.826539005434782,28.275170302173915,32.430193707608694,28.23646695172409,42.00367221122239,49.417371817428396
site_102,texas,,276,-0.3078905967391305,2.5516866949275374,-2.8595772916666675,19.16662070543478,28.275170302173915,32.250414068478264,28.00012802923892,42.00367221122239,49.32662719881127
site_116,texas,,276,3.5962241985507246,4.888746958804347,-1.292522760253623,19.217216423913044,23.849981688297103,30.633279216050727,28.998717408781893,35.6074653016533,43.679881564665315
site_110,texas,,276,-3.379777415652174,2.5516866949275374,-5.931464110579711,15.749409752101448,28.275170302173915,30.42915900326087,23.991843105285618,42.00367221122239,45.7541131658075
site_127,utah,,276,0.9103985289855068,-5.411861720108695,6.322260249094203,23.49128295652174,11.198957601268114,30.162333293659422,29.877471206566966,14.971324582024273,38.41089012891803
site_087,texas,,276,-4.444937764130435,1.7450009743840582,-6.189938738514493,24.542575423550726,25.095325334311593,29.87049271387681,36.23351053660421,36.65112206161483,41.72825724779445
site_117,texas,,276,4.426997001594203,4.888746958804347,-0.46174995721014483,17.843216124492752,23.849981688297103,29.369317811847825,28.596544536621263,35.6074653016533,42.35154652229312
site_089,texas,,276,-1.1714572449275362,3.316874039492754,-4.4883312844202905,25.044655718115944,19.933685003985506,28.28695186702899,35.35092871934144,27.52212017253599,39.880497253405714
site_057,idaho,,276,17.23625012536232,-8.155831148188406,25.392081273550723,23.335548192028988,14.369998742391305,28.09960449094203,32.10532392374643,18.781550031007733,36.31957389801997
site_031,colorado,,276,-4.557152427536232,-4.045311405434783,-0.5118410221014489,23.30605605072464,11.223560478623188,27.80156229021739,34.07352455630802,14.762118517101428,39.70351534459827
site_086,texas,,276,0.5094354045289851,2.131640938423913,-1.6222055338949275,22.68518795380435,18.412873768097825,27.043264239293478,35.71996650943795,25.591401264065187,42.00718268261976
site_097,texas,,276,5.702929716195652,4.888746958804347,0.8141827573913041,14.87261291387681,23.849981688297103,26.940069752173915,23.947682506093596,35.6074653016533,39.554911074961886
site_096,texas,,276,5.138159835996377,4.888746958804347,0.24941287719202895,14.966599552409422,23.849981688297103,26.91005015875,23.751225685619595,35.6074653016533,39.436601238019826
site_036,colorado,,276,-8.467095829710145,-5.700353791304348,-2.766742038405797,14.911866039130434,15.80601876666667,26.83134123478261,19.09900186665153,21.990523102415384,32.39859529877954
site_028,california,,276,8.479566908775363,-12.821048427543479,21.30061533631884,16.90863625723913,13.533409020833334,26.230610111420287,27.772440535554104,23.660046528500907,44.568357271115026
site_124,utah,,276,17.60267855905797,-5.411861720108695,23.014540279166667,20.34382916630435,11.198957601268114,25.840803501268116,26.768177910979503,14.971324582024273,33.54329900784931
site_005,california,,276,16.280897714434783,-7.405808572318841,23.686706286753623,17.72172112824638,9.013280955724637,25.615316667971015,35.33150389590827,14.85695590985771,47.53959672008009
site_099,texas,,276,4.058768330615942,4.888746958804347,-0.8299786281884053,13.875823142427537,23.849981688297103,25.451737377608694,21.496905695912762,35.6074653016533,37.33126575622138
site_114,texas,,276,1.381796441485507,4.888746958804347,-3.5069505173188404,16.653550240905798,23.849981688297103,25.389772320507248,25.592663871550318,35.6074653016533,36.72652783666215
site_112,texas,,276,0.00010504532608679934,4.888746958804347,-4.888641913478261,18.84947979880435,23.849981688297103,24.7701589342029,27.150520672160617,35.6074653016533,36.090806315048056
site_113,texas,,276,0.00010504532608679934,4.888746958804347,-4.888641913478261,18.84947979880435,23.849981688297103,24.7701589342029,27.150520672160617,35.6074653016533,36.090806315048056
site_100,texas,,276,3.1009871003623193,4.888746958804347,-1.7877598584420287,18.022372048913045,23.849981688297103,24.316126993007245,27.413936615381903,35.6074653016533,38.25121718346787
site_058,kansas,,276,4.440917894202898,-1.1384383351449274,5.579356229347826,15.952931373188406,21.27508706847826,23.071949419927538,25.01446126717099,31.929707878643942,35.10854506131598
site_019,california,,276,4.161712053242753,-16.38454298878261,20.54625504202536,10.270540601358695,17.465335162514496,22.93202055827174,18.174974968699573,30.228802542040537,40.792396902518625
site_060,montana,,276,-28.25455329673913,-20.120725511956522,-8.133827784782609,28.949864103985504,20.541089294565214,22.831178160869566,33.8822360655277,27.154754622297116,27.992664191170707
site_017,california,,276,-11.432703438278986,-16.38454298878261,4.951839550503624,17.778657402047102,17.465335162514496,22.810733061815217,23.567034698059395,30.228802542040537,33.32864035526672
site_004,california,,276,4.7359474476050725,-16.38454298878261,21.12049043638768,8.493051459061594,17.465335162514496,22.716128493590578,16.014818329844065,30.228802542040537,39.789249383768805
site_027,california,,276,-34.69239845181522,-16.38454298878261,-18.30785546303261,35.359891951090574,17.465335162514496,22.25981587629348,50.16957693114837,30.228802542040537,31.86478541601439
site_032,colorado,Telluride / Upper San Miguel–San Juan Basin,276,10.991692807971015,2.1264422641304352,8.86525054384058,30.565743489130433,12.524974830072464,21.629333366304348,41.468776552736905,15.358212433819373,30.030663638656982
site_043,colorado,,276,-21.495925411231884,-5.700353791304348,-15.795571619927534,29.492612407608696,15.80601876666667,21.42184754384058,46.193351353251,21.990523102415384,31.827354521895977
site_034,colorado,,276,-20.322209043115944,-4.045311405434783,-16.27689763768116,22.59821031557971,11.223560478623188,21.369603387681156,27.399227831215637,14.762118517101428,25.208944186146077
site_103,texas,,276,2.5957920619565216,4.888746958804347,-2.2929548968478257,19.972717078623187,23.849981688297103,21.180342764963765,30.129203497723893,35.6074653016533,32.544835289191404
site_029,colorado,,276,8.304452073550726,-5.700353791304348,14.004805864855072,23.20889167210145,15.80601876666667,21.11975532789855,29.174047251478385,21.990523102415384,27.09167961967033
site_090,texas,,276,-0.42376577029166684,1.5709167619565212,-1.994682532248188,26.302131880436594,16.911833922826084,20.148661267030796,38.859418938267154,23.59293085233817,28.966728328632897
site_040,colorado,Central Colorado Program,276,1.2770196811594203,-7.53836760326087,8.81538728442029,12.864851746376813,20.652836885869565,19.83455837137681,17.22502761216686,26.94036128347195,26.789504654968503
site_021,california,Mokelumne / Lake Almanor,276,-5.4409560861231885,-16.38454298878261,10.94358690265942,13.921212918949276,17.465335162514496,19.75997775888406,20.155505813885057,30.228802542040537,31.146891743966602
site_041,colorado,,276,-21.175676467391305,-5.700353791304348,-15.475322676086956,23.41577582971015,15.80601876666667,19.718418234057967,30.832351350240845,21.990523102415384,24.213018871862317
site_105,texas,,276,5.330698605072464,4.888746958804347,0.4419516462681166,19.887647480434783,23.849981688297103,19.685201853007246,29.346387462808842,35.6074653016533,31.486453757550372
site_111,texas,,276,-3.379777415652174,-5.349497444565218,1.9697200289130432,15.749409752101448,17.375522975724635,19.670394487173915,23.991843105285618,23.853553739612504,30.161789505258724
site_107,texas,,276,3.1381238570652177,4.888746958804347,-1.7506231017391296,21.297523255978263,23.849981688297103,19.43754429391304,32.80418400258722,35.6074653016533,32.119897166120346
site_035,colorado,,276,-9.103299830434784,-4.872832467391304,-4.230467363043479,15.662599777536231,8.556407137681159,19.35557896449275,20.159455217093484,12.516767863617844,23.85316008638594
site_046,idaho,,276,-15.86411476594203,-8.155831148188406,-7.708283617753623,17.16878511811594,14.369998742391305,18.86753138514493,21.11487835379548,18.781550031007733,25.379218586979224
site_045,idaho,,276,-13.126436363768116,-8.155831148188406,-4.9706052155797105,15.36053148478261,14.369998742391305,18.329307592391306,18.91129988053681,18.781550031007733,24.055556905118195
site_123,utah,,276,-20.09604625724638,-5.411861720108695,-14.68418453713768,20.891069336956523,11.198957601268114,18.322660823369567,24.68543348686933,14.971324582024273,24.281699529256148
site_083,oregon,,276,-32.44686862844203,-17.233220026086954,-15.213648602355072,33.094028465905794,17.73119382753623,18.124444013804347,41.40983728656677,22.666213818390865,23.519956349149858
site_106,texas,,276,2.5516866949275374,3.7202165862246375,-1.1685298912971007,28.275170302173915,20.695253328268116,18.06074298187681,42.00367221122239,28.20501806027765,26.843565080539403
site_050,idaho,,276,-0.16735091261231896,-8.155831148188406,7.988480235576087,7.443776507938406,14.369998742391305,17.741276330503624,10.461070926925185,18.781550031007733,23.47938667165569
site_049,idaho,,276,-0.16735091261231896,-8.155831148188406,7.988480235576087,7.443776507938406,14.369998742391305,17.741276330503624,10.461070926925185,18.781550031007733,23.47938667165569
site_076,north_dakota,,276,-9.130679822826085,-8.146074047463767,-0.9846057753623186,16.15878613442029,14.773366569202897,17.40884854347826,22.52952698627465,19.570049318824495,26.853714231752946
site_078,north_dakota,,276,-7.320168311956522,-8.146074047463767,0.8259057355072464,16.832493355434785,14.773366569202897,17.05702719637681,23.20494608901516,19.570049318824495,27.239762010723613
site_074,north_dakota,,276,-9.785960659057972,-8.146074047463767,-1.6398866115942028,17.571749669927538,14.773366569202897,17.014714807971018,23.960735853381347,19.570049318824495,25.68782772223635
site_085,texas,,276,1.7450009743840582,3.316874039492754,-1.5718730651086963,25.095325334311593,19.933685003985506,16.877447618731885,36.65112206161483,27.52212017253599,23.41219926214045
site_051,idaho,,276,-3.7975395717318836,-8.155831148188406,4.358291576456522,7.149432363123188,14.369998742391305,16.458459216311592,10.285676620840325,18.781550031007733,21.454786658569905
site_000,california,,276,-3.9704605679166667,-16.38454298878261,12.414082420865942,7.082151144510869,17.465335162514496,16.43623792362681,11.50488112931592,30.228802542040537,29.392454710937418
site_009,california,,276,-3.542262800550725,-16.38454298878261,12.842280188231884,5.000745449115942,17.465335162514496,16.199940730550725,7.740795766185027,30.228802542040537,27.62075695943004
site_054,idaho,,276,-11.56008548731884,-8.155831148188406,-3.4042543391304347,12.535662203985508,14.369998742391305,16.11513356956522,16.194546334923555,18.781550031007733,21.868113896037034
