site_id,gap_no_seeding,gap_during_seeding,within_site_did,n_seeded,n_unseeded
site_062,0.13791987584867257,0.39726093662760736,0.2593410607789348,163,113
site_063,0.634730810681746,0.7445017442208334,0.1097709335390874,24,252
site_064,1.6994584675823865,2.4647331228900002,0.7652746553076137,100,176
site_065,2.547968513149621,1.4328956708333334,-1.1150728423162877,12,264
site_066,0.8171437253662699,0.6282726913333333,-0.1888710340329366,24,252
site_067,0.11105248533181818,0.04434585679166667,-0.0667066285401515,12,264
site_068,0.37839936266,0.45741443764225354,0.07901507498225352,71,205
site_069,0.6703785505142856,0.940230584032258,0.2698520335179724,31,245
site_070,0.5941074609033175,0.638741715076923,0.04463425417360556,65,211
site_071,0.8478617045098814,0.8291990830434782,-0.018662621466403184,23,253
site_072,0.38408097998253965,0.30632813479166665,-0.077752845190873,24,252
site_073,0.9381806697910448,1.2855529907499998,0.3473723209589551,8,268
site_074,0.2515394607545787,0.4717508233333332,0.22021136257875445,3,273
site_075,-0.10811315920720721,-0.6139896544444445,-0.5058764952372373,54,222
site_076,0.3486492022074074,-0.1532237499999999,-0.5018729522074074,6,270
site_077,0.0,0.0,0.0,3,273
site_078,0.31823029225641025,0.7400513000000001,0.4218210077435898,3,273
site_079,-0.08387792652014653,0.04386901333333351,0.12774693985348004,3,273
site_080,-0.08507264003663004,0.15258794333333328,0.23766058336996332,3,273
site_081,-0.14594106808658008,-0.28533935400000005,-0.13939828591341996,45,231
site_082,0.0,0.0,0.0,7,269
site_083,1.225903413213768,,,0,276
site_084,0.0,,,0,276
site_085,0.039581051561797746,-0.019444341111111128,-0.05902539267290888,9,267
site_086,-0.1852218924730769,-0.19949677187499995,-0.01427487940192304,16,260
site_087,0.5238493802471911,0.4524655222222223,-0.07138385802496877,9,267
site_088,0.4002217075681818,0.9218852116666668,0.5216635040984849,12,264
site_089,0.4265865643984674,0.09787878466666668,-0.32870777973180076,15,261
site_090,0.02169756433333332,0.24361609666666664,0.22191853233333333,60,216
site_091,0.5870804895650559,1.1648451185714284,0.5777646290063725,7,269
site_092,2.0421296940617757,1.5056834847058822,-0.5364462093558935,17,259
site_093,1.5425152213222222,0.35063425916666685,-1.1918809621555553,6,270
site_094,0.8530634440408923,0.9205681664285715,0.06750472238767924,7,269
site_095,0.8708192406085271,0.5265341747222223,-0.3442850658863048,18,258
site_096,-0.7907579526486792,-0.46782059413636373,0.3229373585123155,11,265
site_097,-0.8172315688117647,-0.733148479047619,0.08408308976414569,21,255
site_098,-1.0247487339,-1.16705892625,-0.14231019234999986,16,260
site_099,-0.7921429115862205,-0.9076812004545455,-0.11553828886832496,22,254
site_100,-0.2665968904637681,,,0,276
site_101,-0.0033014607740458027,0.3129414007142857,0.31624286148833153,14,262
site_102,-1.0551694639962685,-1.146316535,-0.09114707100373143,8,268
site_103,-0.14754907356343283,0.06556513574999998,0.2131142093134328,8,268
site_104,-1.050258750041045,-1.3108254525,-0.2605667024589551,8,268
site_105,-0.14161710285555554,-0.13033547633333323,0.01128162652222231,6,270
site_106,0.5146980309609757,0.2967807528169014,-0.21791727814407424,71,205
site_107,-0.10444317250553505,-0.10414124999999996,0.00030192250553508215,5,271
site_108,0.0,0.0,0.0,96,180
site_109,1.5122396488333334,1.3483542057592592,-0.16388544307407416,54,222
site_110,-1.4556884808911539,-1.145124413125,0.31056406776615386,16,260
site_111,-0.7945455508266395,-0.7317364175,0.06280913332663951,32,244
site_112,-0.363289644430855,-0.64849853,-0.28520888556914503,7,269
site_113,-0.37684671008141263,-0.12751986428571424,0.2493268457956984,7,269
site_114,-0.4513104767740741,-0.8274713833333335,-0.3761609065592594,6,270
site_115,-0.1347992210277778,-0.17137925060416667,-0.03658002957638887,240,36
site_116,-0.11233649990774908,-0.31967162899999996,-0.20733512909225088,5,271
site_117,-0.4936370268333333,,,0,276
site_118,-0.0723673612178771,-0.31046524022680405,-0.23809787900892695,97,179
site_119,-0.73875144632,-0.7527669366666666,-0.014015490346666604,6,270
site_120,-0.07076182556779662,0.06926059100000001,0.14002241656779663,40,236
site_121,-0.7272024395135135,-1.1266249227037035,-0.39942248319019,54,222
site_122,-0.14681888257575756,0.029722859166666643,0.1765417417424242,12,264
site_123,0.5960582221234568,0.7060946696969697,0.11003644757351283,33,243
site_124,0.37091501804868915,0.40817262666666665,0.0372576086179775,9,267
site_125,0.3678458131651786,0.39058464057692305,0.022738827411744433,52,224
site_126,0.0,0.0,0.0,14,262
site_127,1.012460776,0.6498336939999999,-0.36262708200000004,5,271
site_128,0.0,0.0,0.0,25,251
site_129,-0.2554243995,-0.8546005536363637,-0.5991761541363636,44,232
site_130,-0.12750485029558822,-0.25439262250000017,-0.12688777220441194,4,272
site_131,0.03164393274485597,0.15735625393939398,0.125712321194538,33,243
site_132,0.34584781983333335,0.33068658916666666,-0.015161230666666692,12,264
site_133,0.2487146633358491,-0.4101666527272727,-0.6588813160631218,11,265
site_134,-0.016369421087866123,0.33749761081081087,0.35386703189867696,37,239
site_135,-0.3407053309782609,-0.19973257423913043,0.14097275673913046,92,184
site_136,0.0,0.0,0.0,6,270
site_137,-1.8646847535323383,-1.5568796793333333,0.30780507419900505,75,201
site_138,-1.1461229255263157,-0.8081435970000002,0.3379793285263155,10,266
